url,permalink,title,seller,seller_url,price_usd,is_free,discloses_sales,sales_count,ratings_count,ratings_avg,sales_per_rating,seller_products,seller_ratings_total,top_category
https://metalgod.gumroad.com/l/CYBERCLOTHES,ciikh,Samurai Tech (VRChat Cyberpunk outfit),Metal,https://metalgod.gumroad.com,20.00,False,True,254,16,4.8,15.88,21,300,3d/3d-assets/clothing
https://mezufi.gumroad.com/l/wvlkzd,wvlkzd,Novabeast Classic Sailor,Mezufi,https://mezufi.gumroad.com,7.00,False,False,,0,0.0,,2,16,3d/3d-assets/clothing/bodysuits
https://mgulifes.gumroad.com/l/botanicasfx,fuyftj,Botanica ☘️,mgulifes,https://mgulifes.gumroad.com,0.00,True,True,3167,110,4.9,28.79,5,22,music-and-sound-design
https://miccoli3d.gumroad.com/l/MergeMaster,zkckw,Merge Master - Blender addon ,miccoli3d,https://miccoli3d.gumroad.com,60.00,False,True,125,4,4.0,31.25,,,3d
https://michaelxnore.gumroad.com/l/VulperSkull,guoox,Vulper Skull,MichaelxNore,https://michaelxnore.gumroad.com,0.00,True,True,394,4,5.0,98.50,8,76,3d/3d-assets/accessories/masks
https://michaelxnore.gumroad.com/l/fishtailvulper,quags,Fish Tail for Vulper,MichaelxNore,https://michaelxnore.gumroad.com,0.00,True,True,490,9,5.0,54.44,8,71,3d/3d-assets/avatar-components/tails
https://michafrar.gumroad.com/l/pixel-logic,SANZ,Pixel Logic - A Guide to Pixel Art,Michafrar,https://michafrar.gumroad.com,10.00,False,False,,859,5.0,,3,114,drawing-and-painting
https://migbrgd.gumroad.com/l/cinehudoverlays,rlagf,Cine HUD Overlays,Mig Beauregard,https://migbrgd.gumroad.com,15.00,False,False,,11,5.0,,2,15,films
https://migbrgd.gumroad.com/l/hudoverlays,bkzgb,Cine HUD Overlays (3-Pack),Mig Beauregard,https://migbrgd.gumroad.com,15.00,False,False,,0,0.0,,3,26,films
https://mikefx.gumroad.com/l/caramelFX,sqgfll,CaramelFX,Michael Moser,https://mikefx.gumroad.com,5.00,False,False,,0,0.0,,,,3d/3d-assets/accessories/wings
https://mikelowery.gumroad.com/l/eiFwO,eiFwO,How to Keep a Travel Sketchbook PDF guide,mikelowery,https://mikelowery.gumroad.com,10.00,False,False,,8,5.0,,,,comics-and-graphic-novels
https://mikelowery.gumroad.com/l/vFkvu,vFkvu,Slightly Jet Lagged : The Travel Sketchbooks of Mike Lowery,mikelowery,https://mikelowery.gumroad.com,7.00,False,False,,3,5.0,,,,comics-and-graphic-novels
https://miladkambari.gumroad.com/l/cdprfd,cdprfd,20 Women's Jumpsuit Wear Collection- VOL 13,Milad Kambari,https://miladkambari.gumroad.com,0.00,True,False,,0,0.0,,19,35,3d/3d-assets/clothing/bodysuits
https://miladkambari.gumroad.com/l/cukbv,cukbv,20 Warrior Armor BASE MESH - VOL 14  ,Milad Kambari,https://miladkambari.gumroad.com,0.00,True,False,,0,0.0,,19,35,3d/3d-assets/clothing/bodysuits
https://miladkambari.gumroad.com/l/fnwml,fnwml,157 Mask & Helmet Base Mesh Bundle  ,Milad Kambari,https://miladkambari.gumroad.com,0.00,True,False,,0,0.0,,19,35,3d/3d-assets/accessories/masks
https://miladkambari.gumroad.com/l/sqblf,sqblf,15 Ruffle BASE MESH - VOL 22  ,Milad Kambari,https://miladkambari.gumroad.com,0.00,True,False,,0,0.0,,19,35,3d/3d-assets/clothing/dresses
https://miladkambari.gumroad.com/l/tapiek,tapiek,25 Gas Mask Base Mesh - VOL 09 ( Game Ready )  ,Milad Kambari,https://miladkambari.gumroad.com,0.00,True,False,,0,0.0,,19,35,3d/3d-assets/accessories/masks
https://miladkambari.gumroad.com/l/vxocin,vxocin,25 Warrior Belt - Outfit Collection- VOL 06,Milad Kambari,https://miladkambari.gumroad.com,0.00,True,False,,0,0.0,,19,35,3d/3d-assets/accessories/belts
https://miladkambari.gumroad.com/l/wtrwd,wtrwd,17 Women's Leather Jacket Wear Collection- VOL 17,Milad Kambari,https://miladkambari.gumroad.com,0.00,True,False,,0,0.0,,19,35,3d/3d-assets/clothing/jackets
